"FID","Especies","decimalLat","decimalLon","Profundidad","Estrato","temperatura","salinidad","oxigeno","pH","sedimento","COP","hexagono","idleft","idtop","idright","idbottom","idX_centro","idy_centro","hexagonos_tocados_por_transectos_id","Transecto"
107,"Acar gradata",23.36666667,-109.4166667,245,"Batial superior",NA,NA,57.46647261,7.651671028,"Clay",0.278935343,2198,-109.8702729,23.5,-109.2929226,23,-110,23,2198,"Golfo_Boca"
108,"Acar gradata",2.95389,-78.20306,228,"Batial superior",NA,NA,2.684781313,7.578582764,"Calcareous ooze",NA,7932,-78.26034564,3.25,-77.68299537,2.75,-78,3,NA,""
115,"Acar rostae",8.243,-78.8723333,223,"Batial superior",15.00201416,35.31105804,NA,NA,"Clay",NA,7766,-79.12637104,8.25,-78.54902077,7.75,-79,8,NA,""
118,"Acesta agassizii",7.1625,-80.8333,589,"Batial superior",4.559411297,34.60034058,82.62240949,7.705408801,"Clay",0.256157935,7378,-81.29143455,7.5,-80.71408428,7,-81,7,NA,""
119,"Acesta agassizii",27.38333,-111.6,1850,"Batial  medio",3.009939746,34.59297558,2.856591942,7.543038561,"Diatom ooze",NA,1799,-112.0353364,27.75,-111.4579861,27.25,-112,28,1799,"Golfo_Norte"
120,"Acesta diomedae",-1.05,-89.4667,704,"Batial superior",7.091843426,34.60402695,8.46565615,7.548447915,"Fine-grained calcareous sediment",0.812105477,5912,-89.51867589,-0.75,-88.94132562,-1.25,-89,-1,NA,""
121,"Acesta diomedae",-1.18967,-89.10966,437,"Batial superior",6.446176161,34.59332611,38.8764459,7.600555,"Fine-grained calcareous sediment",0.812105477,5912,-89.51867589,-0.75,-88.94132562,-1.25,-89,-1,NA,""
126,"Acesta sphoni",26.8829,-111.658,848.63,"Batial  medio",7.732740762,34.57541779,1.561511347,7.544109541,"Diatom ooze",NA,1800,-112.0353364,27.25,-111.4579861,26.75,-112,27,NA,""
140,"Acharax johnsoni",5.81666,-78.8666,3470,"Batial inferior",1.861985002,34.68581009,91.63609806,7.722732658,"Clay",0.271806598,7770,-79.12637104,6.25,-78.54902077,5.75,-79,6,NA,""
146,"Acharax johnsoni",4.933333,-80.875,3240.63,"Batial inferior",1.914609327,34.68451309,91.59436268,7.728121798,"Clay",0.237354457,7383,-81.29143455,5,-80.71408428,4.5,-81,5,NA,""
147,"Acharax johnsoni",6.283333,-82.083333,3057.75,"Batial inferior",1.909610888,34.67512893,89.55339056,7.728472232,"Clay",0.252917469,7224,-82.15745995,6.5,-81.58010968,6,-82,6,NA,""
148,"Acharax johnsoni",6.35,-80.683333,3279.04,"Batial inferior",1.911419318,34.68756485,91.69083022,7.725606072,"Clay",0.260005146,7457,-80.85842185,6.75,-80.28107158,6.25,-81,7,NA,""
149,"Acharax johnsoni",27.3958,-111.417,1838,"Batial  medio",2.981666488,34.59434998,3.85538769,7.540934802,"Diatom ooze",0.862160563,1878,-111.6023237,27.5,-111.0249734,27,-111,27,NA,""
150,"Acharax johnsoni",1.1167,-81.0667,3182,"Batial inferior",1.815536077,34.67158923,103.7676042,7.721621246,"Clay",0.338744462,7390,-81.29143455,1.5,-80.71408428,1,-81,1,NA,""
151,"Acharax johnsoni",25.413333,-110.58,515,"Batial superior",4.839681625,34.52457464,9.715573584,7.557172823,"Diatom ooze",NA,2038,-110.7362983,25.5,-110.158948,25,-110,25,2038,"Golfo_Sur"
152,"Acharax johnsoni",25.948333,-110.75,575,"Batial superior",5.093001047,34.52584067,1.896761592,7.54297221,"Diatom ooze",NA,1958,-111.169311,26.25,-110.5919607,25.75,-111,26,NA,""
153,"Acharax johnsoni",23.249444,-106.983333,420,"Batial superior",6.236612941,34.53281555,1.101245959,7.532369,"Clay",0.232910067,2666,-107.2721967,23.5,-106.6948464,23,-107,23,NA,""
154,"Acharax johnsoni",24.886667,-108.99,394.5,"Batial superior",4.903028658,34.52704951,14.43136187,7.562783817,"Clay",NA,2272,-109.4372602,25.25,-108.8599099,24.75,-109,25,NA,""
155,"Acharax johnsoni",26.05,-109.923333,432.5,"Batial superior",5.379940232,34.52073051,4.815489981,7.547869406,"Clay",0.672648489,2114,-110.3032856,26.25,-109.7259353,25.75,-110,26,2114,"Golfo_Sur"
156,"Acharax johnsoni",25.28333,-110.31667,1859,"Batial  medio",2.55006777,34.61113285,33.76016687,7.604178525,"Clay",0.645454943,2038,-110.7362983,25.5,-110.158948,25,-110,25,2038,"Golfo_Sur"
157,"Acharax johnsoni",25.93333,-110.5833,1332.5,"Batial  medio",3.665662182,34.56534293,16.08879665,7.572956266,"Diatom ooze",NA,2037,-110.7362983,26,-110.158948,25.5,-110,26,NA,""
158,"Acharax johnsoni",27.25,-111.45,1852,"Batial  medio",2.989526081,34.59410477,4.647396183,7.537364483,"Diatom ooze",0.862160563,1878,-111.6023237,27.5,-111.0249734,27,-111,27,NA,""
159,"Acharax johnsoni",5.16333,-81.68667,3950,"Abisal superior",1.902062263,34.68581009,91.9711404,7.729115196,"Clay",0.230211228,7226,-82.15745995,5.5,-81.58010968,5,-82,5,NA,""
160,"Acharax johnsoni",26.75,-111.0333,1703.5,"Batial  medio",3.031421657,34.59090225,11.17328724,7.563464526,"Diatom ooze",0.862160563,1879,-111.6023237,27,-111.0249734,26.5,-111,27,NA,""
161,"Acharax johnsoni",27.28333,-111.4333,1833.5,"Batial  medio",2.992976529,34.59376853,4.495877949,7.538231814,"Diatom ooze",0.862160563,1878,-111.6023237,27.5,-111.0249734,27,-111,27,NA,""
162,"Acharax johnsoni",28.81667,-115.7333,1523.5,"Batial  medio",3.565191374,34.53458872,26.30466114,7.584746552,"Sand",0.326559842,1095,-115.9324507,29,-115.3551004,28.5,-116,29,NA,""
165,"Acharax johnsoni",25.413333,-110.613333,981,"Batial  medio",5.203643093,34.52176093,8.00723154,7.552922797,"Diatom ooze",NA,2038,-110.7362983,25.5,-110.158948,25,-110,25,2038,"Golfo_Sur"
166,"Acharax johnsoni",5.81666,-78.8666,3356,"Batial inferior",1.861985002,34.68581009,91.63609806,7.722732658,"Clay",0.271806598,7770,-79.12637104,6.25,-78.54902077,5.75,-79,6,NA,""
167,"Acharax johnsoni",27.39583015,-111.4166718,2061,"Batial inferior",2.981598946,34.59435264,3.856489025,7.540942723,"Diatom ooze",0.862160563,1878,-111.6023237,27.5,-111.0249734,27,-111,27,NA,""
168,"Acharax johnsoni",12.3333,-91.85,3651,"Abisal superior",1.528079882,34.67207718,120.7686422,7.728441206,"Siliceous mud",0.345551491,5417,-92.1167521,12.75,-91.53940183,12.25,-92,13,5417,"Guatemala_Galapagos"
169,"Acharax johnsoni",27.3958,-111.417,2061,"Batial inferior",2.981666488,34.59434998,3.85538769,7.540934802,"Diatom ooze",0.862160563,1878,-111.6023237,27.5,-111.0249734,27,-111,27,NA,""
170,"Acharax johnsoni",27.39583015,-115.4166718,4271,"Abisal superior",1.31830809,34.67818069,112.1695046,7.7197598,"Sand",0.277771682,1175,-115.499438,27.75,-114.9220877,27.25,-115,28,NA,""
171,"Acharax johnsoni",1.11667,-81.0667,3088,"Batial inferior",1.815535444,34.67158899,103.7675925,7.721621261,"Clay",0.338744462,7390,-81.29143455,1.5,-80.71408428,1,-81,1,NA,""
172,"Acharax johnsoni",1.116999984,-81.06700134,3088,"Batial inferior",1.815544264,34.67159226,103.7679529,7.721621242,"Clay",0.338744462,7390,-81.29143455,1.5,-80.71408428,1,-81,1,NA,""
173,"Acharax johnsoni",14.4667,-95.15,4114,"Abisal superior",1.536430417,34.67291641,116.7759582,7.700505552,"Clay",1.09421289,4789,-95.58085371,14.75,-95.00350344,14.25,-95,15,NA,""
174,"Acharax johnsoni",5.81667,-78.8667,3299,"Batial inferior",1.861987669,34.68581009,91.63612089,7.722732401,"Clay",0.271806598,7770,-79.12637104,6.25,-78.54902077,5.75,-79,6,NA,""
176,"Acila castrensis",29.316667,-112.863333,230.43,"Batial superior",11.57559842,34.76114074,52.72315998,7.718917496,"Clay",NA,1562,-113.3343745,29.5,-112.7570242,29,-113,29,NA,""
177,"Acila castrensis",28.658333,-112.483333,301.75,"Batial superior",10.6526031,34.69282496,42.6665488,7.681282931,"Mixed calcareous-siliceous ooze",NA,1641,-112.9013618,28.75,-112.3240115,28.25,-113,29,NA,""
217,"Acteon panamensis",7.0917,-79.6667,2323,"Batial inferior",2.001359925,34.68840535,88.48729675,7.716959357,"Clay",0.263714939,7612,-79.99239644,7.25,-79.41504617,6.75,-80,7,NA,""
468,"Admete microsoma",16.55,-99.875,1207.01,"Batial  medio",3.763206983,34.59772758,81.28129196,7.686857605,"Silt",NA,4005,-99.91098073,16.75,-99.33363046,16.25,-100,17,NA,""
469,"Adontorhina sphaericosa",9.56667,-85.68333,1305.5,"Batial  medio",2.261201018,34.64461122,74.26273261,7.679744441,"Clay",NA,6515,-86.05457427,9.75,-85.477224,9.25,-86,10,NA,""
487,"Aforia goodei",5.5,-86.75,1951,"Batial  medio",2.613269567,34.63011551,77.12000275,7.690430164,"Calcareous ooze",0.190346226,6367,-86.92059967,5.75,-86.3432494,5.25,-87,6,NA,""
488,"Aforia goodei",1.05,-80.25,1355,"Batial  medio",3.693002081,34.60432816,71.72339172,7.679242802,"Clay",NA,7546,-80.42540915,1.5,-79.84805888,1,-80,1,NA,""
489,"Aforia goodei",7.25,-79.6,1865,"Batial  medio",2.603234959,34.67360306,81.00897064,7.699889851,"Clay",0.263714939,7611,-79.99239644,7.75,-79.41504617,7.25,-80,8,NA,""
489,"Aforia goodei",7.25,-79.6,1865,"Batial  medio",2.603234959,34.67360306,81.00897064,7.699889851,"Clay",0.263714939,7612,-79.99239644,7.25,-79.41504617,6.75,-80,7,NA,""
490,"Aforia goodei",8.6083,-84.2933,2240,"Batial inferior",1.909657536,34.65856718,58.20717144,7.654843777,"Clay",NA,6751,-84.75553616,9,-84.1781859,8.5,-84,9,6751,"Costa_Rica"
491,"Aforia goodei",9.6825,-85.8033,1372,"Batial  medio",3.303257848,34.61431372,65.32892144,7.660637502,"Clay",NA,6515,-86.05457427,9.75,-85.477224,9.25,-86,10,NA,""
493,"Agaronia hiatula",27.774503,-110.911949,293,"Batial superior",11.84716059,34.68963747,1.000624208,7.537606081,"Siliceous mud",NA,1954,-111.169311,28.25,-110.5919607,27.75,-111,28,NA,""
498,"Agaronia propatula",16.602786,-99.916667,936,"Batial  medio",4.388717453,34.57076912,67.44923355,7.659803727,"Silt",NA,3927,-100.3439934,17,-99.76664316,16.5,-100,17,3927,"Central"
501,"Agaronia testacea",7.10178,-80.474365,1606,"Batial  medio",3.056098718,34.6495325,90.4918322,7.725877009,"Clay",0.263714939,7456,-80.85842185,7.25,-80.28107158,6.75,-81,7,NA,""
507,"Agriopoma catharium",-0.4,-89.1,1485,"Batial  medio",4.159012327,34.58104324,69.03625641,7.668290005,"Fine-grained calcareous sediment",0.647155881,5911,-89.51867589,-0.25,-88.94132562,-0.75,-89,-1,NA,""
534,"Alanbeuella corrugata",7.10178,-80.474365,1606,"Batial  medio",3.056098718,34.6495325,90.4918322,7.725877009,"Clay",0.263714939,7456,-80.85842185,7.25,-80.28107158,6.75,-81,7,NA,""
536,"Alanbeuella corrugata",5.635537624,-77.37054443,299,"Batial superior",21.29035817,33.54434227,NA,NA,NA,NA,8005,-77.82733293,6,-77.24998266,5.5,-78,6,NA,""
537,"Alexandromenia agassizi",18.291667,-114.7125,841.25,"Batial  medio",2.336071122,34.63162125,122.3943687,7.739173264,"Clay",0.080357194,1272,-115.0664253,18.5,-114.489075,18,-115,18,NA,""
538,"Alexandromenia agassizi",18.29166667,-114.7125,575,"Batial superior",2.336066785,34.63162145,122.3943699,7.739173257,"Clay",0.080357194,1272,-115.0664253,18.5,-114.489075,18,-115,18,NA,""
540,"Astyris permodesta",25.866,-110.888,730,"Batial superior",8.404832813,34.58916071,1.245437407,7.541375887,"Diatom ooze",NA,1958,-111.169311,26.25,-110.5919607,25.75,-111,26,NA,""
551,"Alvania profundicola",-0.6083,-89.3167,1159,"Batial  medio",9.557622203,34.73554383,43.51258632,7.611894886,"Fine-grained calcareous sediment",0.812105477,5911,-89.51867589,-0.25,-88.94132562,-0.75,-89,-1,NA,""
561,"Amaea deroyae",26.77504,-110.56641,1403,"Batial  medio",3.649422093,34.56824171,8.95419516,7.559362065,"Siliceous mud",0.862160563,2035,-110.7362983,27,-110.158948,26.5,-110,27,NA,""
562,"Amaea deroyae",26.77504,-110.56641,1403,"Batial  medio",3.649422093,34.56824171,8.95419516,7.559362065,"Siliceous mud",0.862160563,2035,-110.7362983,27,-110.158948,26.5,-110,27,NA,""
564,"Amaea ferminiana",7.561111,-79.722222,279.81,"Batial superior",13.86529106,34.98134143,13.42363997,7.638227859,"Clay",NA,7611,-79.99239644,7.75,-79.41504617,7.25,-80,8,NA,""
568,"Amaea ferminiana",4.980000019,-77.51249695,458,"Batial superior",6.590258622,34.62818818,44.38767052,7.730224059,"Fine-grained calcareous sediment",0.253579438,8007,-77.82733293,5,-77.24998266,4.5,-78,5,NA,""
569,"Amaea ferminiana",4.824999809,-77.44550323,250,"Batial superior",11.88401191,34.86304304,29.88631308,7.686406045,"Fine-grained calcareous sediment",NA,8007,-77.82733293,5,-77.24998266,4.5,-78,5,NA,""
570,"Amaea ferminiana",4.996500015,-77.51166534,392,"Batial superior",6.650455941,34.6284674,45.66375393,7.735297307,"Fine-grained calcareous sediment",0.253579438,8007,-77.82733293,5,-77.24998266,4.5,-78,5,NA,""
571,"Amaea ferminiana",4.987333298,-77.57450104,666,"Batial superior",4.188320823,34.61410239,53.6323591,7.723169699,"Fine-grained calcareous sediment",0.253579438,8007,-77.82733293,5,-77.24998266,4.5,-78,5,NA,""
572,"Amaea ferminiana",5.037499905,-77.5664978,345,"Batial superior",5.666746017,34.61998275,53.52852328,7.728650594,"Fine-grained calcareous sediment",0.253579438,8006,-77.82733293,5.5,-77.24998266,5,-78,5,NA,""
573,"Amaea ferminiana",5.756499767,-77.31933594,404,"Batial superior",26.05704674,33.23364561,48.3805171,7.62738473,"Clay",NA,8005,-77.82733293,6,-77.24998266,5.5,-78,6,NA,""
574,"Amaea pompholyx",-0.4,-89.1,1485,"Batial  medio",4.159012327,34.58104324,69.03625641,7.668290005,"Fine-grained calcareous sediment",0.647155881,5911,-89.51867589,-0.25,-88.94132562,-0.75,-89,-1,NA,""
584,"Americardia planicostata",8.243,-78.8723333,223,"Batial superior",15.00201416,35.31105804,NA,NA,"Clay",NA,7766,-79.12637104,8.25,-78.54902077,7.75,-79,8,NA,""
589,"Ameritella carpenteri",28.5,-112.366667,228.6,"Batial superior",11.02076998,34.69626437,7.028430458,7.575207929,"Diatom ooze",NA,1641,-112.9013618,28.75,-112.3240115,28.25,-113,29,NA,""
590,"Ameritella carpenteri",28.896667,-112.913333,420.62,"Batial superior",10.87571835,34.71805366,20.31092648,7.618641253,"Mixed calcareous-siliceous ooze",NA,1563,-113.3343745,29,-112.7570242,28.5,-113,29,NA,""
595,"Ameritella felix",28.18,-111.816667,201.17,"Batial superior",11.17239014,34.71015161,1.031255812,7.541572553,"Diatom ooze",NA,1798,-112.0353364,28.25,-111.4579861,27.75,-112,28,1798,"Golfo_Norte"
615,"Amphitretus pelagicus",-1.299999952,-84.78330231,1965,"Batial  medio",2.326940758,34.64378673,94.65548542,7.727488561,"Calcareous ooze",0.884413779,6693,-85.18854887,-1.25,-84.6111986,-1.75,-85,-2,6693,"Costa_Rica"
616,"Amphitretus pelagicus",-1.416700006,-95.55000305,3397,"Batial inferior",1.459852829,34.67863839,127.6021714,7.782903704,"Fine-grained calcareous sediment",0.62386924,4743,-96.01386641,-1,-95.43651614,-1.5,-96,-1,NA,""
617,"Amphitretus pelagicus",2.8667,-87.6333,2243,"Batial inferior",2.1151712,34.66032349,90.61203226,7.721034637,"Calcareous ooze",0.218770236,6216,-87.78662508,3.25,-87.20927481,2.75,-87,3,NA,""
621,"Anachis adelinae",20.633333,-105.383333,438,"Batial superior",11.10179383,34.70921892,NA,NA,"Siliceous mud",NA,2983,-105.5401459,21,-104.9627956,20.5,-105,21,NA,""
633,"Anachis fusidens",-1.508333,-89.583333,548.64,"Batial superior",5.663376442,34.58098192,80.38981892,7.691088297,"Calcareous ooze",0.714105308,5836,-89.95168859,-1.5,-89.37433832,-2,-90,-2,NA,""
634,"Anachis fusidens",-1.5083,-89.5833,549,"Batial superior",5.664165904,34.58095383,80.38539728,7.691079086,"Calcareous ooze",0.714105308,5836,-89.95168859,-1.5,-89.37433832,-2,-90,-2,NA,""
673,"Anadara concinna",5.666666508,-77.34999847,404,"Batial superior",24.63764112,32.90806114,NA,NA,NA,NA,8005,-77.82733293,6,-77.24998266,5.5,-78,6,NA,""
687,"Anadara esmeralda",15.63333333,-96.3,308,"Batial superior",2.104843235,34.6453743,109.3616837,7.737871933,NA,NA,4631,-96.44687912,15.75,-95.86952885,15.25,-96,16,NA,""
716,"Anadara mazatlanica",23.1,-106.7833333,552,"Batial superior",7.118380692,34.55433778,2.444807641,7.545161113,"Clay",0.232910067,2666,-107.2721967,23.5,-106.6948464,23,-107,23,NA,""
730,"Anadara tuberculosa",28,-112,743,"Batial superior",6.305704117,34.52062988,1.000719309,7.543652534,"Diatom ooze",NA,1798,-112.0353364,28.25,-111.4579861,27.75,-112,28,1798,"Golfo_Norte"
730,"Anadara tuberculosa",28,-112,743,"Batial superior",6.305704117,34.52062988,1.000719309,7.543652534,"Diatom ooze",NA,1798,-112.0353364,28.25,-111.4579861,27.75,-112,28,1798,"Golfo_Norte"
734,"Anatoma bathypacifica",12.8106,-103.9403,2572,"Batial inferior",1.608496213,34.6692967,105.675942,7.721518593,"Clay",0.200928092,3232,-104.2411077,13.25,-103.6637575,12.75,-104,13,NA,""
735,"Anatoma janetae",12.7117,-103.9075,2574,"Batial inferior",1.606472207,34.66968881,105.0280737,7.719772338,"Clay",0.200928092,3233,-104.2411077,12.75,-103.6637575,12.25,-104,13,NA,""
736,"Anatoma janetae",8.6183,-104.2028,2567,"Batial inferior",1.622025924,34.67004968,113.0458571,7.73735277,"Clay",0.368658364,3163,-104.6741205,9,-104.0967702,8.5,-104,9,NA,""
737,"Anatoma janetae",8.625,-104.2099991,2583,"Batial inferior",1.620207033,34.67018508,113.043701,7.737486132,"Clay",0.368658364,3163,-104.6741205,9,-104.0967702,8.5,-104,9,NA,""
738,"Anatoma janetae",12.96000004,-103.9300003,2973,"Batial inferior",1.598787412,34.66969192,106.9004853,7.725337257,"Clay",0.200928092,3232,-104.2411077,13.25,-103.6637575,12.75,-104,13,NA,""
742,"Anatoma keenae",29.53300095,-113.6330032,328,"Batial superior",11.52046361,34.79409946,58.90920143,7.744148624,"Calcareous ooze",NA,1483,-113.7673872,29.75,-113.1900369,29.25,-113,30,NA,""
748,"Ancistrocheirus lesueurii",26.1833,-110.6,993,"Batial  medio",2.486816589,34.61415134,20.93490053,7.581487422,"Clay",NA,2036,-110.7362983,26.5,-110.158948,26,-110,26,NA,""
749,"Ancistrocheirus lesueurii",16,-107,3113,"Batial inferior",1.412244081,34.67665482,121.7240219,7.726700306,"Siliceous mud",0.132293925,2680,-107.2721967,16.5,-106.6948464,16,-107,16,NA,""
749,"Ancistrocheirus lesueurii",16,-107,3113,"Batial inferior",1.412244081,34.67665482,121.7240219,7.726700306,"Siliceous mud",0.132293925,2680,-107.2721967,16.5,-106.6948464,16,-107,16,NA,""
749,"Ancistrocheirus lesueurii",16,-107,3113,"Batial inferior",1.412244081,34.67665482,121.7240219,7.726700306,"Siliceous mud",0.132293925,2681,-107.2721967,16,-106.6948464,15.5,-107,16,NA,""
749,"Ancistrocheirus lesueurii",16,-107,3113,"Batial inferior",1.412244081,34.67665482,121.7240219,7.726700306,"Siliceous mud",0.132293925,2681,-107.2721967,16,-106.6948464,15.5,-107,16,NA,""
757,"Anteaeolidiella ireneae",10.31666667,-109.2,490,"Batial superior",3.482482999,34.59267044,121.4993887,7.744195862,"Clay",0.218897879,2301,-109.4372602,10.75,-108.8599099,10.25,-109,11,NA,""
760,"Anticlinura monochorda",7.25,-79.6,1865,"Batial  medio",2.603234959,34.67360306,81.00897064,7.699889851,"Clay",0.263714939,7611,-79.99239644,7.75,-79.41504617,7.25,-80,8,NA,""
760,"Anticlinura monochorda",7.25,-79.6,1865,"Batial  medio",2.603234959,34.67360306,81.00897064,7.699889851,"Clay",0.263714939,7612,-79.99239644,7.25,-79.41504617,6.75,-80,7,NA,""
761,"Anticlinura movilla",16.55,-99.875,1207.01,"Batial  medio",3.763206983,34.59772758,81.28129196,7.686857605,"Silt",NA,4005,-99.91098073,16.75,-99.33363046,16.25,-100,17,NA,""
762,"Anticlinura serilla",7.091667,-79.666667,2322.58,"Batial inferior",2.001204039,34.68840749,88.48995122,7.716965471,"Clay",0.263714939,7612,-79.99239644,7.25,-79.41504617,6.75,-80,7,NA,""
763,"Anticlinura serilla",7.0917,-79.6667,2323,"Batial inferior",2.001359925,34.68840535,88.48729675,7.716959357,"Clay",0.263714939,7612,-79.99239644,7.25,-79.41504617,6.75,-80,7,NA,""
769,"Antillophos veraguensis",4.824999809,-77.44550323,250,"Batial superior",11.88401191,34.86304304,29.88631308,7.686406045,"Fine-grained calcareous sediment",NA,8007,-77.82733293,5,-77.24998266,4.5,-78,5,NA,""
770,"Antillophos veraguensis",4.820000172,-77.44216919,250,"Batial superior",12.22812991,34.87881307,29.44557667,7.684828975,"Fine-grained calcareous sediment",NA,8007,-77.82733293,5,-77.24998266,4.5,-78,5,NA,""
774,"Antillophos veraguensis",4.996500015,-77.51166534,392,"Batial superior",6.650455941,34.6284674,45.66375393,7.735297307,"Fine-grained calcareous sediment",0.253579438,8007,-77.82733293,5,-77.24998266,4.5,-78,5,NA,""
775,"Antillophos veraguensis",5.037499905,-77.5664978,345,"Batial superior",5.666746017,34.61998275,53.52852328,7.728650594,"Fine-grained calcareous sediment",0.253579438,8006,-77.82733293,5.5,-77.24998266,5,-78,5,NA,""
776,"Antillophos veraguensis",4.980000019,-77.51249695,458,"Batial superior",6.590258622,34.62818818,44.38767052,7.730224059,"Fine-grained calcareous sediment",0.253579438,8007,-77.82733293,5,-77.24998266,4.5,-78,5,NA,""
777,"Antillophos veraguensis",5.756499767,-77.31933594,404,"Batial superior",26.05704674,33.23364561,48.3805171,7.62738473,"Clay",NA,8005,-77.82733293,6,-77.24998266,5.5,-78,6,NA,""
796,"Aplysia parvula",25.16666667,-110.7333333,342,"Batial superior",10.95013194,34.70290294,1.20584257,7.535998727,"Diatom ooze",NA,1960,-111.169311,25.25,-110.5919607,24.75,-111,25,NA,""
804,"Araiofusus araios",28.645,-112.9783,1100,"Batial  medio",10.85480558,34.71855822,17.91542701,7.608003642,"Clay",NA,1563,-113.3343745,29,-112.7570242,28.5,-113,29,NA,""
821,"Anadara mazatlanica",23.1,-106.783333,219.46,"Batial superior",7.11838646,34.55433791,2.44479547,7.545161103,"Clay",0.232910067,2666,-107.2721967,23.5,-106.6948464,23,-107,23,NA,""
891,"Architectonica nobilis",0,-90.5,2009,"Batial inferior",2.274147749,34.63698196,67.48370361,7.664757252,"Calcareous ooze",NA,5676,-90.81771399,0.5,-90.24036372,0,-91,0,NA,""
891,"Architectonica nobilis",0,-90.5,2009,"Batial inferior",2.274147749,34.63698196,67.48370361,7.664757252,"Calcareous ooze",NA,5676,-90.81771399,0.5,-90.24036372,0,-91,0,NA,""
891,"Architectonica nobilis",0,-90.5,2009,"Batial inferior",2.274147749,34.63698196,67.48370361,7.664757252,"Calcareous ooze",NA,5677,-90.81771399,0,-90.24036372,-0.5,-91,0,NA,""
891,"Architectonica nobilis",0,-90.5,2009,"Batial inferior",2.274147749,34.63698196,67.48370361,7.664757252,"Calcareous ooze",NA,5677,-90.81771399,0,-90.24036372,-0.5,-91,0,NA,""
892,"Architectonica nobilis",6.949999809,-77.7678299,314,"Batial superior",12.52646291,34.91448986,48.5628347,7.625729698,"Clay",0.306930721,7924,-78.26034564,7.25,-77.68299537,6.75,-78,7,NA,""
894,"Architectonica nobilis",6.962166786,-77.76983643,306,"Batial superior",12.29461185,34.90472586,48.92748229,7.626580585,"Clay",0.306930721,7924,-78.26034564,7.25,-77.68299537,6.75,-78,7,NA,""
904,"Archivesica angulata",7.0917,-79.6667,2323,"Batial inferior",2.001359925,34.68840535,88.48729675,7.716959357,"Clay",0.263714939,7612,-79.99239644,7.25,-79.41504617,6.75,-80,7,NA,""
905,"Archivesica angulata",27.516667,-111.586167,889,"Batial  medio",3.008217588,34.59348404,2.320256944,7.543121671,"Diatom ooze",NA,1799,-112.0353364,27.75,-111.4579861,27.25,-112,28,1799,"Golfo_Norte"
906,"Archivesica angulata",5.16333,-81.68667,3950,"Abisal superior",1.902062263,34.68581009,91.9711404,7.729115196,"Clay",0.230211228,7226,-82.15745995,5.5,-81.58010968,5,-82,5,NA,""
907,"Archivesica angulata",9.6678,-86.1194,3560,"Abisal superior",1.542229973,34.67207718,110.8487827,7.740438938,"Clay",NA,6437,-86.48758697,10,-85.9102367,9.5,-86,10,NA,""
910,"Archivesica gigas",27.15,-111.7,1567.28,"Batial  medio",3.363746519,34.57764023,2.080216742,7.547548313,"Diatom ooze",NA,1800,-112.0353364,27.25,-111.4579861,26.75,-112,27,NA,""
912,"Archivesica gigas",27.475,-111.725,823,"Batial  medio",3.073614256,34.58952713,1.745602993,7.546326041,"Diatom ooze",NA,1799,-112.0353364,27.75,-111.4579861,27.25,-112,28,1799,"Golfo_Norte"
